"","lonlat","Freq","lon","lat"
"389","-70.162651 18.735693",1,"-70.162651","18.735693"
"390","-70.1867227 43.8006208",1,"-70.1867227","43.8006208"
"391","-70.2311655 44.0978509",1,"-70.2311655","44.0978509"
"392","-70.2553259 43.661471",1,"-70.2553259","43.661471"
"393","-70.3975022 -23.6509279",1,"-70.3975022","-23.6509279"
"394","-70.4367642 41.6172921",2,"-70.4367642","41.6172921"
"395","-70.5906057 -33.6186082",1,"-70.5906057","-33.6186082"
"396","-70.6619888 42.6159285",1,"-70.6619888","42.6159285"
"397","-70.6672621 41.9584457",1,"-70.6672621","41.9584457"
"398","-70.6692655 -33.4488897",2,"-70.6692655","-33.4488897"
"399","-70.7284785 41.9932752",1,"-70.7284785","41.9932752"
"400","-70.760349 43.0751946",1,"-70.760349","43.0751946"
"401","-70.8092163 43.0851662",1,"-70.8092163","43.0851662"
"402","-70.8226541 43.9653889",6,"-70.8226541","43.9653889"
"403","-70.8800187 42.0751892",1,"-70.8800187","42.0751892"
"404","-70.880049 42.5584283",1,"-70.880049","42.5584283"
"405","-70.8967155 42.51954",1,"-70.8967155","42.51954"
"406","-70.9036487 41.6376043",1,"-70.9036487","41.6376043"
"407","-70.9915997 42.4136428",3,"-70.9915997","42.4136428"
"408","-71 25",1,"-71","25"
"409","-71.0095602 42.3656132",2,"-71.0095602","42.3656132"
"410","-71.0183787 42.0834335",1,"-71.0183787","42.0834335"
"411","-71.0247764 42.0950417",1,"-71.0247764","42.0950417"
"412","-71.041385 42.349255",1,"-71.041385","42.349255"
"413","-71.042551 42.1619739",1,"-71.042551","42.1619739"
"414","-71.053109 42.293763",1,"-71.053109","42.293763"
"415","-71.0536625 42.40843",1,"-71.0536625","42.40843"
"416","-71.0588801 42.3600825",61,"-71.0588801","42.3600825"
"417","-71.067605 42.3016305",1,"-71.067605","42.3016305"
"418","-71.0682388 42.3607878",1,"-71.0682388","42.3607878"
"419","-71.0723391 42.5039395",1,"-71.0723391","42.5039395"
"420","-71.0782651 42.3473129",1,"-71.0782651","42.3473129"
"421","-71.0937013 42.2729836",1,"-71.0937013","42.2729836"
"422","-71.0994968 42.3875968",1,"-71.0994968","42.3875968"
"423","-71.102018 42.365854",1,"-71.102018","42.365854"
"424","-71.1061639 42.4184296",1,"-71.1061639","42.4184296"
"425","-71.1097335 42.3736158",4,"-71.1097335","42.3736158"
"426","-71.128062 42.390253",1,"-71.128062","42.390253"
"427","-71.1367953 42.6583356",1,"-71.1367953","42.6583356"
"428","-71.1626756 42.2797554",1,"-71.1626756","42.2797554"
